step,wall_time,value
0,1784108781.1832998,0.0
1,1784108781.2867923,0.0
2,1784108781.3967526,0.0
3,1784108781.503005,0.0
4,1784108781.6116793,0.0
5,1784108781.717197,0.0
6,1784108781.821223,0.0
7,1784108781.9273982,0.0
8,1784108782.0335827,0.0
9,1784108782.141188,0.0
10,1784108782.2472196,0.0
11,1784108782.353611,0.0
12,1784108782.4588368,0.0
13,1784108782.5642903,0.0
14,1784108782.669107,0.0
15,1784108782.7747495,0.0
16,1784108782.876509,0.0
17,1784108782.9839084,0.0
18,1784108783.0887413,0.0
19,1784108783.1949792,0.0
20,1784108783.3019369,0.0
21,1784108783.4080951,0.0
22,1784108783.5125628,0.0
23,1784108783.617339,0.0
24,1784108783.7208438,0.0
25,1784108783.8288074,0.0
26,1784108783.9373722,0.0
27,1784108784.044519,0.0
28,1784108784.1489978,0.0
29,1784108784.254092,0.0
30,1784108784.3592834,0.0
31,1784108784.4647996,0.0
32,1784108784.567522,0.0
33,1784108784.6720326,0.0
34,1784108784.7828894,0.0
35,1784108784.8925552,0.0
36,1784108784.9990225,0.0
37,1784108785.1032135,0.0
38,1784108785.2086575,0.0
39,1784108785.314538,0.0
40,1784108785.4201236,0.0
41,1784108785.526033,0.0
42,1784108785.6337838,0.0
43,1784108785.7420635,0.0
44,1784108785.8464513,0.0
45,1784108785.949809,0.0
46,1784108786.0556064,0.0
47,1784108786.1609268,0.0
48,1784108786.263934,0.0
49,1784108786.3722935,0.0
50,1784108786.4773638,0.0
51,1784108786.5829947,0.0
52,1784108786.6876657,0.0
53,1784108786.790434,0.0
54,1784108786.896161,0.0
55,1784108787.002162,0.0
56,1784108787.105622,0.0
57,1784108787.2111664,0.0
58,1784108787.3166122,0.0
59,1784108787.420933,0.0
60,1784108787.5253265,0.0
61,1784108787.630034,0.0
62,1784108787.735316,0.0
63,1784108787.8395448,0.0
64,1784108787.94419,0.0
65,1784108788.050336,0.0
66,1784108788.158027,0.0
67,1784108788.2641265,0.0
68,1784108788.3690555,0.0
69,1784108788.4782379,0.0
70,1784108788.585685,0.0
71,1784108788.689816,0.0
72,1784108788.7936182,0.0
73,1784108788.9054089,0.0
74,1784108789.0144281,0.0
75,1784108789.121956,0.0
76,1784108789.2270858,0.0
77,1784108789.3328686,0.0
78,1784108789.4371235,0.0
79,1784108789.5415359,0.0
80,1784108789.64547,0.0
81,1784108789.7500117,0.0
82,1784108789.8559937,0.0
83,1784108789.962001,0.0
84,1784108790.0683208,0.0
85,1784108790.1718755,0.0
86,1784108790.2765546,0.0
87,1784108790.3791432,0.0
88,1784108790.4821773,0.0
89,1784108790.5867183,0.0
90,1784108790.6922524,0.0
91,1784108790.799683,0.0
92,1784108790.9050765,0.0
93,1784108791.008135,0.0
94,1784108791.1139913,0.0
95,1784108791.221223,0.0
96,1784108791.327268,0.0
97,1784108791.4335375,0.0
98,1784108791.5409374,0.0
99,1784108791.6455843,0.0
100,1784108791.748946,0.0
101,1784108791.8535924,0.0
102,1784108791.9618633,0.0
103,1784108792.0667622,0.0
104,1784108792.1729927,0.0
105,1784108792.2811534,0.0
106,1784108792.3909278,0.0
107,1784108792.4973567,0.0
108,1784108792.6041698,0.0
