step,wall_time,value
0,1784108781.1832771,0.46875
1,1784108781.2867782,0.65625
2,1784108781.3967383,0.625
3,1784108781.5029895,0.71875
4,1784108781.6116655,0.625
5,1784108781.7171814,0.875
6,1784108781.8212087,0.75
7,1784108781.9273849,0.8125
8,1784108782.0335674,0.875
9,1784108782.1411738,0.8125
10,1784108782.2472048,0.78125
11,1784108782.3535964,0.8125
12,1784108782.458823,0.78125
13,1784108782.5642762,0.875
14,1784108782.6690936,0.875
15,1784108782.774726,0.96875
16,1784108782.8764951,0.78125
17,1784108782.9838943,0.8125
18,1784108783.0887182,0.8125
19,1784108783.194964,0.78125
20,1784108783.301923,0.875
21,1784108783.4080818,0.84375
22,1784108783.5125484,0.90625
23,1784108783.6173186,0.90625
24,1784108783.72083,0.90625
25,1784108783.8287902,0.875
26,1784108783.9373546,0.84375
27,1784108784.0445046,0.90625
28,1784108784.1489847,0.8125
29,1784108784.2540772,0.78125
30,1784108784.3592696,0.78125
31,1784108784.4647868,0.875
32,1784108784.5675077,0.90625
33,1784108784.6720188,0.84375
34,1784108784.7828743,0.8125
35,1784108784.8925407,0.90625
36,1784108784.9990084,0.9375
37,1784108785.1031983,0.90625
38,1784108785.208642,0.78125
39,1784108785.3145165,0.84375
40,1784108785.4201095,0.96875
41,1784108785.5260186,0.8125
42,1784108785.633768,0.8125
43,1784108785.7420487,0.875
44,1784108785.8464384,0.875
45,1784108785.9497933,0.9375
46,1784108786.055591,0.90625
47,1784108786.1609132,0.90625
48,1784108786.2639198,0.84375
49,1784108786.372279,0.90625
50,1784108786.4773488,0.84375
51,1784108786.5829802,0.84375
52,1784108786.6876523,0.90625
53,1784108786.7904203,0.8125
54,1784108786.8961456,0.9375
55,1784108787.0021486,0.90625
56,1784108787.105608,0.8125
57,1784108787.2111518,0.84375
58,1784108787.316599,0.90625
59,1784108787.4209187,0.90625
60,1784108787.5253124,0.84375
61,1784108787.6300204,0.90625
62,1784108787.735302,0.875
63,1784108787.8395326,0.8125
64,1784108787.944177,0.75
65,1784108788.0503213,0.96875
66,1784108788.1580126,0.875
67,1784108788.2641125,0.8125
68,1784108788.3690383,0.875
69,1784108788.4782214,0.78125
70,1784108788.5856693,0.8125
71,1784108788.6898031,0.90625
72,1784108788.7936044,0.9375
73,1784108788.905394,0.84375
74,1784108789.014413,0.8125
75,1784108789.1219416,0.84375
76,1784108789.2270725,0.84375
77,1784108789.3328545,0.875
78,1784108789.4371097,0.84375
79,1784108789.541522,0.9375
80,1784108789.6454563,0.9375
81,1784108789.7499974,0.9375
82,1784108789.8559792,0.9375
83,1784108789.9619877,0.84375
84,1784108790.0683074,0.75
85,1784108790.1718616,0.84375
86,1784108790.2765398,0.8125
87,1784108790.379129,0.78125
88,1784108790.4821632,0.9375
89,1784108790.5867038,0.9375
90,1784108790.6922371,0.84375
91,1784108790.799669,0.9375
92,1784108790.9050634,0.78125
93,1784108791.0081193,0.84375
94,1784108791.113969,0.96875
95,1784108791.221209,0.84375
96,1784108791.3272526,1.0
97,1784108791.433524,0.8125
98,1784108791.5409248,0.84375
99,1784108791.6455703,0.78125
100,1784108791.7489247,0.9375
101,1784108791.8535786,0.9375
102,1784108791.961849,0.84375
103,1784108792.0667152,0.875
104,1784108792.1729782,0.78125
105,1784108792.2811396,0.96875
106,1784108792.3909132,0.875
107,1784108792.4973342,1.0
108,1784108792.6041565,0.90625
109,1784108792.7079852,0.90625
110,1784108792.8112094,0.9375
111,1784108792.914878,0.90625
112,1784108793.02163,0.875
113,1784108793.1270597,0.8125
114,1784108793.2315233,0.875
115,1784108793.337047,0.8125
116,1784108793.4411619,0.8125
117,1784108793.5442562,0.96875
118,1784108793.6511629,0.84375
119,1784108793.7547078,0.9375
120,1784108793.8577085,0.84375
